n,k,t,lambda,mu,lib_id,members,source_method
38,18,9,8,9,1,15 16 17 18 21 22 27 28 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,15 16 18 19 20 22 23 24 26 27 29 30 31 33 34 35 37 38,exhaustive
38,18,9,8,9,1,15 16 18 20 21 22 23 24 26 27 29 30 31 32 33 35 37 38,exhaustive
38,18,9,8,9,1,15 16 19 20 23 24 27 28 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,15 16 21 22 23 24 27 28 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,16 17 18 19 20 22 24 25 26 27 28 29 31 33 34 35 36 37,exhaustive
38,18,9,8,9,1,16 17 18 19 24 25 26 27 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,16 17 18 20 21 22 24 25 26 27 28 29 31 32 33 35 36 37,exhaustive
38,18,9,8,9,1,16 17 20 21 24 25 26 27 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,16 18 19 20 22 23 24 25 26 27 28 29 30 31 33 34 35 37,exhaustive
38,18,9,8,9,1,16 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 35 37,exhaustive
38,18,9,8,9,1,16 19 20 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,17 18 19 20 22 24 25 26 27 28 29 30 31 33 35 36 37 38,exhaustive
38,18,9,8,9,1,17 18 19 20 25 26 27 28 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,17 18 20 21 22 24 25 26 27 28 29 30 31 33 34 35 37 38,exhaustive
38,18,9,8,9,1,17 18 21 22 25 26 27 28 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 35 36 37,exhaustive
38,18,9,8,9,1,18 19 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,19 20 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38,exhaustive
38,18,9,8,9,1,19 20 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 10 11 12 13 14 15 16 19 23 28 30 31 32 33 35 36 37,exhaustive
38,18,9,8,9,1,2 10 11 12 13 14 15 16 21 23 28 30 31 32 33 35 37 38,exhaustive
38,18,9,8,9,1,2 10 11 12 13 14 20 21 22 23 24 25 26 31 33 35 37 38,exhaustive
38,18,9,8,9,1,2 10 11 12 13 15 18 20 21 22 23 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 10 11 12 13 21 23 24 25 26 28 30 31 33 35 36 37 38,exhaustive
38,18,9,8,9,1,2 10 11 12 14 15 17 18 19 27 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,2 10 11 13 14 15 18 19 20 22 23 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 10 11 14 15 16 17 18 19 20 27 31 32 33 35 36 37 38,exhaustive
38,18,9,8,9,1,2 10 11 14 16 18 19 22 23 24 25 26 27 28 31 33 35 37,exhaustive
38,18,9,8,9,1,2 10 11 19 22 23 24 25 26 27 28 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,2 10 12 13 14 15 16 17 18 21 29 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,2 10 12 13 14 18 20 21 22 23 24 25 26 29 31 33 35 37,exhaustive
38,18,9,8,9,1,2 10 12 14 15 16 17 18 19 20 27 29 31 33 35 36 37 38,exhaustive
38,18,9,8,9,1,2 10 12 14 15 17 19 27 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 10 13 14 15 16 17 18 21 29 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 10 13 21 23 24 25 26 28 29 30 31 32 33 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 12 13 14 15 16 17 18 21 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,2 11 12 13 15 16 17 18 20 21 22 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 12 14 16 18 21 22 23 24 25 26 27 28 31 33 35 37,exhaustive
38,18,9,8,9,1,2 11 12 21 23 24 25 26 27 28 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 15 16 17 18 19 20 22 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 15 16 17 18 19 20 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 15 16 17 18 20 21 24 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 15 16 17 18 20 21 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 15 16 18 19 20 23 28 31 32 33 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 15 16 18 19 22 23 26 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 15 16 18 20 21 23 28 30 31 33 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 15 16 18 21 23 24 26 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 16 17 18 19 20 25 26 31 32 33 34 35 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 16 17 18 20 21 25 26 30 31 33 34 35 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 16 17 19 20 22 25 28 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 16 17 20 21 24 25 28 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 16 18 19 20 23 25 26 28 31 32 33 35 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 16 18 20 21 23 25 26 28 30 31 33 35 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 16 19 22 23 25 26 28 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 13 14 16 21 23 24 25 26 28 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 14 15 16 17 18 19 20 24 27 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,2 11 14 15 16 17 18 20 21 24 27 30 31 33 34 35 36 37,exhaustive
38,18,9,8,9,1,2 11 14 15 16 18 19 20 23 24 27 28 31 32 33 35 36 37,exhaustive
38,18,9,8,9,1,2 11 14 15 16 18 20 21 23 24 27 28 30 31 33 35 36 37,exhaustive
38,18,9,8,9,1,2 11 14 15 17 18 19 20 22 27 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 14 15 17 18 20 21 24 27 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 14 15 18 19 22 23 26 27 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 14 15 18 21 23 24 26 27 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 14 16 17 18 19 20 24 25 26 27 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,2 11 14 16 17 18 20 21 24 25 26 27 30 31 33 34 35 37,exhaustive
38,18,9,8,9,1,2 11 14 16 17 20 21 22 24 25 26 27 30 31 33 35 36 37,exhaustive
38,18,9,8,9,1,2 11 14 16 18 19 20 23 24 25 26 27 28 31 32 33 35 37,exhaustive
38,18,9,8,9,1,2 11 14 16 18 20 21 23 24 25 26 27 28 30 31 33 35 37,exhaustive
38,18,9,8,9,1,2 11 14 17 18 21 24 25 27 28 30 31 32 33 34 35 37 38,exhaustive
38,18,9,8,9,1,2 11 14 17 19 20 22 25 27 28 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 14 17 20 21 24 25 27 28 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 14 19 22 23 25 26 27 28 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 11 14 21 23 24 25 26 27 28 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 12 13 14 15 16 17 18 19 20 29 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 12 13 14 15 16 17 18 19 29 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 13 15 16 17 18 19 20 22 24 29 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 13 15 16 17 18 19 20 22 29 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 13 15 16 17 18 20 21 22 24 29 31 32 33 35 36 37 38,exhaustive
38,18,9,8,9,1,2 13 15 16 17 18 20 21 24 29 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 13 15 16 18 19 20 22 23 24 29 30 31 33 34 35 37 38,exhaustive
38,18,9,8,9,1,2 13 15 16 18 19 22 23 26 29 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 13 15 16 18 20 21 22 23 24 29 30 31 32 33 35 37 38,exhaustive
38,18,9,8,9,1,2 13 15 16 18 21 23 24 26 29 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,2 13 16 17 18 19 20 22 24 25 28 29 31 33 34 35 36 37,exhaustive
38,18,9,8,9,1,2 13 16 17 18 20 21 22 24 25 28 29 31 32 33 35 36 37,exhaustive
