n,k,t,lambda,mu,status,num_cayley,t_valid
78,27,13,8,10,open,2630326306581225004368,205656301793296121856
78,28,21,8,11,open,4697011261752187507800,101808376365627250176
78,29,13,12,10,known,7936329373305420271800,746647049598943297536
78,31,23,8,15,open,19251998995889277562560,522796853334963437568
78,34,28,18,12,open,48837791570454417346200,424372059161783631360
78,35,28,15,16,open,60000715357986855596760,953336556213802338816
78,36,18,15,18,known,70000834584317998196220,7083168087358470881280
78,36,23,16,17,known,70000834584317998196220,3102319438107866038272
78,37,20,17,18,known,77568492377217241244460,7565544464671144673280
78,37,29,20,15,open,77568492377217241244460,1856476061459282621952
78,38,19,18,19,known,81651044607597096046800,7550763769271738695680
78,39,20,19,20,known,81651044607597096046800,7550763769271738695680
78,38,20,19,18,known,81651044607597096046800,8090271904135045447680
78,39,21,18,21,known,81651044607597096046800,8090271904135045447680
78,38,25,24,13,known,81651044607597096046800,3580027174254677852160
78,39,26,13,26,known,81651044607597096046800,3580027174254677852160
80,9,2,1,1,known,10702198715780,2552596207616
80,14,10,4,2,open,64699730713220460,1111540573822720
80,15,3,2,3,known,280365499757288660,34085807308214272
80,16,4,0,4,known,1121461999029154640,182191227729465344
80,17,7,2,4,open,4156006231696278960,424267945443336192
80,18,8,4,4,open,14315132575842738640,1371431562427756544
80,19,7,6,4,known,45959109848758266160,5282703933430263808
80,19,13,12,2,open,45959109848758266160,964309804597637120
80,20,6,2,6,known,137877329546274798480,18808212204360171520
80,21,9,4,6,open,387369640153819671920,38358379236509802496
80,22,10,6,6,known,1021247233132797316880,98329013372202229760
80,23,9,8,6,known,2530917056024758567920,275663391896326963200
80,23,19,10,5,open,2530917056024758567920,8198494426849607040
80,23,16,15,3,open,2530917056024758567920,50683121806812758016
80,24,9,3,9,impossible,5905473130724436658480,642007013279982419968
80,26,16,5,10,open,26983469535771656731824,1072723582826337406976
80,27,18,9,9,open,52967551310959178029136,1477794974361002654720
80,30,15,5,15,impossible,288320907382314737547760,26559777804959537430528
80,30,12,10,12,known,288320907382314737547760,29222915442093450067968
80,31,24,7,15,impossible,455733047152691036769040,5146104834605405454336
80,31,13,12,12,known,455733047152691036769040,43564068629082730921984
80,31,19,18,8,known,455733047152691036769040,22724106098848354250752
80,32,16,8,16,known,683599570729036555153560,67690145801424785375232
80,33,23,10,16,open,973611509826203578552040,26781728877263801212928
80,34,28,12,16,open,1317239101529569547452760,7506773039314526009344
80,34,16,15,14,known,1317239101529569547452760,132442659203944425193472
80,35,22,13,17,open,1693593130538017989582120,94471443962209551253504
80,35,31,14,16,open,1693593130538017989582120,1618807415208473859328
80,36,18,14,18,open,2069947159546466431711480,205999320142908438872064
80,36,32,16,16,open,2069947159546466431711480,1900440458606343218240
80,37,21,16,18,open,2405614266499947474691720,217130118988757149679616
80,37,31,18,16,open,2405614266499947474691720,12567043980043143809024
80,38,19,17,19,open,2658836820868362998343480,245923567630802957107200
80,38,22,18,18,known,2658836820868362998343480,239961133039727330721792
80,38,25,19,17,open,2658836820868362998343480,141156552093359340322816
80,38,28,20,16,open,2658836820868362998343480,66634135142567755350016
80,38,31,21,15,impossible,2658836820868362998343480,24382810278855379175424
80,39,20,19,19,known,2795187427066740588002120,260511729999839829688320
80,40,21,19,21,known,2795187427066740588002120,260511729999839829688320
80,39,21,20,18,known,2795187427066740588002120,274031199571991923261440
80,40,22,18,22,known,2795187427066740588002120,274031199571991923261440
80,39,23,22,16,known,2795187427066740588002120,250676346633093996871680
80,40,24,16,24,known,2795187427066740588002120,250676346633093996871680
